Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
Super Stardust Ultra VR,PS4,2016,Shooter,Sony Computer Entertainment,0.0,0.01,0.0,0.0,0.01,66.0,6.2
Azure Striker Gunvolt,3DS,2016,Action,Yacht Club Games,0.01,0.0,0.0,0.0,0.01,77.0,8.4
Don Bradman Cricket 14,PS3,2014,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01,73.0,6.9
War for the Overworld,PC,2015,Strategy,Unknown,0.0,0.01,0.0,0.0,0.01,65.0,7.7
Darksiders: Warmastered Edition,XOne,2016,Action,Nordic Games,0.01,0.0,0.0,0.0,0.01,80.0,7.9
The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,56.0,6.8
htoL#NiQ: The Firefly Diary,PSV,2014,Platform,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01,58.0,7.7
Worms: WMD,XOne,2016,Action,Sold Out,0.01,0.0,0.0,0.0,0.01,75.0,8.1
Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,0.0,0.01,0.0,0.0,0.01,66.0,5.7
Sherlock Holmes: The Devil's Daughter,PC,2016,Adventure,Bigben Interactive,0.0,0.01,0.0,0.0,0.01,65.0,7.3
Prototype: Biohazard Bundle,XOne,2016,Action,Activision,0.01,0.0,0.0,0.0,0.01,56.0,3.1
Agatha Christie's The ABC Murders,XOne,2016,Adventure,Microids,0.01,0.0,0.0,0.0,0.01,66.0,7.5
Battle Worlds: Kronos,PC,2016,Strategy,Nordic Games,0.0,0.01,0.0,0.0,0.01,71.0,7.1
Goat Simulator,XOne,2016,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01,53.0,6.3
Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,0.0,0.01,0.0,0.0,0.01,67.0,7.1
Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,Nintendo,0.0,0.0,0.01,0.0,0.01,70.0,7.4
Cities: Skylines Snowfall,PC,2016,Simulation,Paradox Development,0.0,0.01,0.0,0.0,0.01,72.0,7.1
Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,7.1
TrackMania Turbo,PC,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01,79.0,6.8
Super Dungeon Bros,PS4,2016,Action,Nordic Games,0.01,0.0,0.0,0.0,0.01,42.0,2.3
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,0.01,0.0,0.0,0.0,0.01,70.0,6.8
Root Letter,PS4,2016,Adventure,PQube,0.0,0.0,0.01,0.0,0.01,69.0,7.5
Ride 2,PC,2016,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01,78.0,7.9
Art Academy: Home Studio,WiiU,2015,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01,82.0,8.3
Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,0.01,0.0,0.0,0.0,0.01,61.0,7.9
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.01,0.0,0.0,0.0,0.01,51.0,5.5
Saints Row: Gat out of Hell,XOne,2015,Action,Deep Silver,0.0,0.01,0.0,0.0,0.01,65.0,6.0
Sébastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01,63.0,8.2
Fast Racing Neo ,WiiU,2016,Action,Nintendo,0.0,0.01,0.0,0.0,0.01,81.0,8.5
Prison Architect,XOne,2016,Action,Introversion Software,0.01,0.0,0.0,0.0,0.01,74.0,6.7
Metal Gear Solid V: Ground Zeroes,PC,2014,Action,Konami Digital Entertainment,0.0,0.01,0.0,0.0,0.01,80.0,7.6
